name	addr:district	amenity	health_facility:level	@lat	@lon
Kampala General		hospital		0.3249455	32.5752362
Kawempe Regional Referral		hospital		0.3619812	32.5617955
Kiruddu Regional Referral		hospital		0.2480910	32.6125945
Lubaga General		hospital		0.3047679	32.5531470
St. Francis Nsambya General		hospital		0.2996663	32.5864522
Nakasero General		hospital		0.3268891	32.5794746
Old Kampala General		hospital		0.3166023	32.5683693
Kololo General		hospital		0.3341198	32.5889755
Victoria General		hospital		0.3502758	32.6032024
Paragon General		hospital		0.3083726	32.6270590
Case Medical Centre General		hospital		0.3246920	32.5752403
International		hospital		0.3051484	32.6106013
Galilee Community General		hospital		0.3316732	32.5358414
Makerere University General		hospital		0.3277107	32.5708615
Kampala Independent General		hospital		0.3588591	32.6164676
Kibuli Muslim General		hospital		0.3149691	32.5742616
Mukwaya General		hospital		0.3001997	32.5951909
Middle East		hospital		0.3522682	32.5587499
Womens		hospital		0.3677607	32.5785325
St. Catherine's General		hospital		0.3145762	32.5761720
Murchision Bay General		hospital		0.2996882	32.6363637
Norvik General		hospital		0.3232560	32.5744959
Family Care General		hospital		0.3852074	32.5779855
Ruth GayLord General		hospital		0.3879817	32.5513654
Doctors		hospital		0.3852074	32.5779855
Life Link General		hospital		0.3787829	32.6451372
Medik General		hospital		0.3677122	32.6371568
Corsu Rehabilitation General		hospital		0.1326038	32.5358105
Entebbe General		hospital		0.0640418	32.4710810
Le Memorial medical services General		hospital		0.3195689	32.6226587
Saidina Abubakar Islamic General		hospital		0.4355604	32.5350832
Kisubi Hospital		hospital		0.1218128	32.5367559
Wakiso Health Center IV		hospital		0.3972874	32.4777642
Nkozi Hospital		hospital		-0.0075987	32.0309694
Gombe Hospital		hospital		0.1815466	32.1151306
Nakaseke Hospital		hospital		0.7203429	32.3984813
Nakaseke General		hospital		0.7170626	32.3996815
Kiwoko General		hospital		0.8396564	32.3603492
Bombo General Military General		hospital		0.8250873	32.5011226
Bishop Ascili General		hospital		0.8250873	32.5011226
Mityana General		hospital		0.3974846	32.0423887
Kiboga General		hospital		0.9112265	31.7764903
Mubende Regional Referral		hospital		0.5678034	31.3928822
Masindi General General		hospital		1.6842107	31.7154878
Masaka Regional Referral		hospital		-0.3291154	31.7352284
Masaka (Kitovu		hospital		-0.3438561	31.7588200
St. Joseph Kitovu General		hospital		-0.3430055	31.7597379
Kalisizo General		hospital		-0.5355166	31.6224125
Rakai General		hospital		-0.7134964	31.4030344
Villa Maria General		hospital		-0.2270646	31.7352040
Lyantonde General		hospital		-0.3935798	31.1528660
Bamu General		hospital		-0.0831523	31.4605744
Kayunga General		hospital		0.7036437	32.9036681
Kamuli General		hospital		0.9473191	33.1211263
Kamuli Mission General		hospital		0.9360386	33.1305866
Mukono General		hospital		0.3608960	32.7470855
Uganda Matyrs General		hospital		0.5075522	32.7530686
St. Francis Nyenga General		hospital		0.3838935	33.1523114
Buikwe St. Charles Lwanga General		hospital		0.3392858	33.0320706
Kawolo General		hospital		0.3681475	32.9452548
Lugazi Scoul General		hospital		0.3927913	32.9402167
Nkokonjeru General		hospital		0.2358832	32.9230887
Buwenge General		hospital		0.6475131	33.1724659
Kakira Sugar General		hospital		0.5092963	33.2946490
Al-Shafa Medical Centre General		hospital		0.4587162	33.2175579
Almeca Medicare General		hospital		0.4380433	33.2114178
New Hope General		hospital		0.6122586	33.4756091
Busolwe General		hospital		0.9217942	34.1599841
Kabasa Memorial General		hospital		0.9552771	34.0326555
River Side Medical Research Center General		hospital		1.0173769	33.9528821
Budaka HC		hospital		1.0173769	33.9528821
Kiryandongo General		hospital		1.8791900	32.0618093
Nakasongola Military General		hospital		1.3229326	32.4661016
Tumu General		hospital		-0.1304335	30.4482107
Ibanda General		hospital		-0.1301105	30.4481182
Rushere Community General		hospital		-0.2103331	30.9479367
Kiruhura		hospital		-0.2078870	30.8430960
Bushenyi		hospital		-0.5410605	30.2001700
Kitagata General		hospital		-0.6765883	30.1519688
Sheema		hospital		-0.6153937	30.0483962
Rukungiri		hospital		-0.7811020	29.9245165
Bwindi Community General		hospital		-1.1566685	29.9809336
Kambuga General		hospital		-1.4154622	30.0334784
Kanungu		hospital		-0.7486215	29.6967029
Kisoro General		hospital		-1.2831654	29.6372308
Kabale Regional Referral		hospital		-1.2502061	29.9891117
Rugarama General		hospital		-1.2410356	29.9742976
Buliisa General		hospital		2.0576675	31.4357195
Kibaale		hospital		0.7902967	31.0747089
