facility_name,district,level,latitude,longitude
236 Rubaga Division HSD Cure Medical Centre (Kasubi) Health Centre II,Kampala,HC II,,
238 Makindye Division HSD Cure Medical Clinic Health Centre II,Kampala,HC II,,
239 Makindye Division HSD D & B Family Clinic Health Centre II,Kampala,HC II,,
240 Rubaga Division HSD Dalon Medical Center Health Centre II,Kampala,HC II,,
241 Central Division HSD Damulira Clinic Health Centre II,Kampala,HC II,,
242 Makindye Division HSD Dana Medical Clinic Health Centre II,Kampala,HC II,,
243 Nakawa Division HSD Dancan Clinic Health Centre II,Kampala,HC II,,
244 Nakawa Division HSD Daniels Drug Shop Health Centre II,Kampala,HC II,,
245 Nakawa Division HSD Davis Medical Clinic Health Centre II,Kampala,HC II,,
246 Central Division HSD Dawa Clinic Health Centre II,Kampala,HC II,,
247 Kawempe Division HSD Ddembe Medical Centre Health Centre II,Kampala,HC II,,
248 Rubaga Division HSD Ddembe Medical Centre Health Centre II,Kampala,HC II,,
249 Nakawa Division HSD Debby Medical Clinic Health Centre II,Kampala,HC II,,
250 Rubaga Division HSD Dembe Clinic Health Centre II,Kampala,HC II,,
251 Rubaga Division HSD Dembe Medical Centre Health Centre II,Kampala,HC II,,
252 Rubaga Division HSD Den 1 Clinic Kawaala Health Centre II,Kampala,HC II,,
253 Rubaga Division HSD Den Clinic Health Centre II,Kampala,HC II,,
254 Central Division HSD Dental And Medical World Limited Health Centre II,Kampala,HC II,,
255 Central Division HSD Dental Prince Health Centre II,Kampala,HC II,,
256 Central Division HSD Dental Studio Health Centre II,Kampala,HC II,,
257 Central Division HSD Dental Trendz Health Centre II,Kampala,HC II,,
258 Central Division HSD Denture Care Center Health Centre II,Kampala,HC II,,
259 Kawempe Division HSD Desire Clinic Health Centre II,Kampala,HC II,,
260 Rubaga Division HSD Desire Medical Centre Health Centre II,Kampala,HC II,,
261 Nakawa Division HSD Devine Care Clinic Health Centre II,Kampala,HC II,,
262 Kawempe Division HSD Devine Clinic Health Centre II,Kampala,HC II,,
263 Makindye Division HSD Devine Medical Center Health Centre II,Kampala,HC II,,
264 Makindye Division HSD Dhiikusoka Health Clinic Health Centre II,Kampala,HC II,,
265 Makindye Division HSD Dhikusoka Health Clinic Health Centre II,Kampala,HC II,,
267 Rubaga Division HSD Dick Medical Centre Health Centre II,Kampala,HC II,,
268 Makindye Division HSD Dino Dental Care Health Centre II,Kampala,HC II,,
269 Nakawa Division HSD Divine Dental Clinic Health Centre II,Kampala,HC II,,
270 Makindye Division HSD Divine Health Care Health Centre II,Kampala,HC II,,
271 Kawempe Division HSD Divine Hope Medical Centre Health Centre II,Kampala,HC II,,
272 Makindye Division HSD Divine Medical Centre Health Centre II,Kampala,HC II,,
273 Nakawa Division HSD Divine Medical Clinic (Banda) Health Centre II,Kampala,HC II,,
274 Rubaga Division HSD Divine Medical Clinic (Rubaga) Health Centre II,Kampala,HC II,,
275 Rubaga Division HSD Divine Mercy Clinic Health Centre II,Kampala,HC II,,
276 Makindye Division HSD Doctor’s Ambulatory Care Health Centre II,Kampala,HC II,,
277 Kawempe Division HSD Doctor’s Clinic Bwaise Health Centre II,Kampala,HC II,,
278 Kawempe Division HSD Doctor’s General Clinic Health Centre II,Kampala,HC II,,
279 Makindye Division HSD Doctor’s Medical Clinic Health Centre II,Kampala,HC II,,
280 Rubaga Division HSD Doctors Chamber Health Centre II,Kampala,HC II,,
281 Makindye Division HSD Doctors Diagnostic Clinic Health Centre II,Kampala,HC II,,
282 Nakawa Division HSD Doctors Medical Care Centre Health Centre II,Kampala,HC II,,
283 Nakawa Division HSD Doctors’ Clinic (Bukoto I) Health Centre II,Kampala,HC II,,
284 Nakawa Division HSD Doctors’ Clinic (Luzira) Health Centre II,Kampala,HC II,,
285 Kawempe Division HSD Doctors’ Medical Centre Health Centre II,Kampala,HC II,,
286 Rubaga Division HSD Dormain Clinic Health Centre II,Kampala,HC II,,
287 Makindye Division HSD Downland Clinic Health Centre II,Kampala,HC II,,
288Central Division HSD Dr Charles Farthing Memorial,Kampala,Clinic,,
290 Central Division HSD Dr Gw Ssamula Dental Clinic Health Centre II,Kampala,HC II,,
291 Central Division HSD Dr M Ahmads Clinic Health Centre II,Kampala,HC II,,
292 Kawempe Division HSD Dr.Lubega Clinic Health Centre II,Kampala,HC II,,
293 Kawempe Division HSD Drabeth Domiciary Clinic Health Centre II,Kampala,HC II,,
294 Makindye Division HSD Dream Dental Clinic Health Centre II,Kampala,HC II,,
295 Nakawa Division HSD E Motion Clinic Health Centre II,Kampala,HC II,,
296 Rubaga Division HSD Eastern Clinic Health Centre II,Kampala,HC II,,
297 Kawempe Division HSD Eastlands Health Services Health Centre II,Kampala,HC II,,
298 Nakawa Division HSD Eastside Clinic Health Centre II,Kampala,HC II,,
299 Central Division HSD Easy Breath Chest Clinic Health Centre II,Kampala,HC II,,
300Nakawa Division HSD Ebenezer Gifted Hands Dental,Kampala,Clinic,,
301 Central Division HSD Ebenezer Clinic Health Centre II,Kampala,HC II,,
302 Central Division HSD Ebenezer Ltd Clinical Laboratory Health Centre II,Kampala,HC II,,
303 Rubaga Division HSD Ebenezer Medical Clinc Health Centre II,Kampala,HC II,,
304 Central Division HSD Ecos Medical Foundation Ltd Health Centre II,Kampala,HC II,,
305 Makindye Division HSD Eden Medical Centre Health Centre II,Kampala,HC II,,
306 Rubaga Division HSD Edma Medical Center Health Centre II,Kampala,HC II,,
307 Makindye Division HSD Edwaliiro Health Centre II,Kampala,HC II,,
308 Nakawa Division HSD Ekemos Medical Clinic Health Centre II,Kampala,HC II,,
309 Nakawa Division HSD Elcom Health Clinic Health Centre II,Kampala,HC II,,
310 Makindye Division HSD Elgon Family Clinic Health Centre II,Kampala,HC II,,
311 Makindye Division HSD Elija Clinlc Health Centre II,Kampala,HC II,,
313 Nakawa Division HSD Elkom Health Centre Health Centre II,Kampala,HC II,,
314 Rubaga Division HSD Embabazi Medical Center Health Centre II,Kampala,HC II,,
315 Nakawa Division HSD Emerfia Nursing Home Health Centre II,Kampala,HC II,,
316 Kawempe Division HSD Emergency Medical Center Health Centre II,Kampala,HC II,,
317 Nakawa Division HSD Emergency Medical Clinic Health Centre II,Kampala,HC II,,
318 Nakawa Division HSD Emin Pasha Health Centre II,Kampala,HC II,,
319 Makindye Division HSD Emmanuel Medical Center Health Centre II,Kampala,HC II,,
320 Central Division HSD Emmanuel Medical Clinic Health Centre II,Kampala,HC II,,
321 Kawempe Division HSD Emmitex Clinic Health Centre II,Kampala,HC II,,
322 Rubaga Division HSD Empathy Clinic Health Centre II,Kampala,HC II,,
323 Kawempe Division HSD Ephrahim Clinic Health Centre II,Kampala,HC II,,
324 Rubaga Division HSD Erida Medical Centre Health Centre II,Kampala,HC II,,
325 Rubaga Division HSD Eva Domiciary Clinic Health Centre II,Kampala,HC II,,
326 Nakawa Division HSD Everest Medical Clinic Health Centre II,Kampala,HC II,,
327 Nakawa Division HSD Excel Medical Center Health Centre II,Kampala,HC II,,
328 Makindye Division HSD Exodus Clinic Health Centre II,Kampala,HC II,,
329 Nakawa Division HSD Exodus Pysychiatric Clinic Health Centre II,Kampala,HC II,,
330 Makindye Division HSD Fair Plus Health Centre II,Kampala,HC II,,
331 Rubaga Division HSD Faith Clinic (Lungujja) Health Centre II,Kampala,HC II,,
332 Makindye Division HSD Faith Clinic (Makindye) Health Centre II,Kampala,HC II,,
333 Makindye Division HSD Faith Daycare Clinic Health Centre II,Kampala,HC II,,
334 Kawempe Division HSD Faith Dental Services Health Centre II,Kampala,HC II,,
335 Makindye Division HSD Faith Healing Center Health Centre II,Kampala,HC II,,
336 Central Division HSD Faith Medical Center (Kisenyi) Health Centre II,Kampala,HC II,,
337 Makindye Division HSD Faith Medical Center (Nsambya) Health Centre II,Kampala,HC II,,
338 Kawempe Division HSD Faith Medical Clinic (Kawempe II) Health Centre II,Kampala,HC II,,
339 Makindye Division HSD Faith Medical Clinic (Makindye I) Health Centre II,Kampala,HC II,,
340 Central Division HSD Family Care Clinic (Kamwokya II) Health Centre II,Kampala,HC II,,
341 Makindye Division HSD Family Care Clinic (Kibuli) Health Centre II,Kampala,HC II,,
342 Makindye Division HSD Family Care Domiciliry Health Centre II,Kampala,HC II,,
343 Kawempe Division HSD Family Care Medical Centre Health Centre II,Kampala,HC II,,
344 Nakawa Division HSD Family Care Medical Clinic Health Centre II,Kampala,HC II,,
345 Central Division HSD Family Clinic (Kisenyi II) Health Centre II,Kampala,HC II,,
346 Rubaga Division HSD Family Clinic (Lungujja) Health Centre II,Kampala,HC II,,
347Kawempe Division HSD Family,Kampala,Clinic,,
348 Kawempe Division HSD Family Dental Sergery Health Centre II,Kampala,HC II,,
349 Nakawa Division HSD Family Doctors Clinic (Ntinda) Health Centre II,Kampala,HC II,,
350 Central Division HSD Family Doctors Health Centre II,Kampala,HC II,,
351 Nakawa Division HSD Family Doctors Medicare Clinic Health Centre II,Kampala,HC II,,
352 Kawempe Division HSD Family Health Clinic (Bwaise II) Health Centre II,Kampala,HC II,,
353 Makindye Division HSD Family Health Clinic (Kibuye II) Health Centre II,Kampala,HC II,,
354Kawempe Division HSD Family Health,Kampala,Clinic,,
355 Nakawa Division HSD Family Hope Centre Kampala Special,Kampala,Clinic,,
357 Makindye Division HSD Family Medicine Center Health Centre II,Kampala,HC II,,
358 Makindye Division HSD Fargie Genaal Clinic Health Centre II,Kampala,HC II,,
359 Nakawa Division HSD Farsham Medical Centre Health Centre II,Kampala,HC II,,
360 Central Division HSD Fati Clinic Health Centre II,Kampala,HC II,,
361 Makindye Division HSD Favour Medcare Health Centre II,Kampala,HC II,,
362 Central Division HSD Fertility Endoscopy Clinic Health Centre II,Kampala,HC II,,
363 Makindye Division HSD Fervid Mediacl Care Health Centre II,Kampala,HC II,,
364 Kawempe Division HSD Fiath Heals Clinic Health Centre II,Kampala,HC II,,
365 Nakawa Division HSD Fiona Clinic Health Centre II,Kampala,HC II,,
366 Makindye Division HSD Fiona Maternity Home Health Centre II,Kampala,HC II,,
367Central Division HSD Fire Prevention And Rescue Services,Kampala,Clinic,,
368 Kawempe Division HSD First Line Medical Centre Health Centre II,Kampala,HC II,,
369 Rubaga Division HSD Florence Medical Services Health Centre II,Kampala,HC II,,
370 Nakawa Division HSD Focus Medical Center Health Centre II,Kampala,HC II,,
371 Nakawa Division HSD Focus Medical Centre Health Centre II,Kampala,HC II,,
372 Makindye Division HSD Fremar Medical Center Health Centre II,Kampala,HC II,,
373 Central Division HSD Fresco Medical Services Health Centre II,Kampala,HC II,,
374 Rubaga Division HSD Fridnds Medical Clinic Health Centre II,Kampala,HC II,,
375 Kawempe Division HSD Friendly Care Clinic Health Centre II,Kampala,HC II,,
376 Makindye Division HSD Friends Clinic Health Centre II,Kampala,HC II,,
377 Makindye Division HSD Friends Medical Center Health Centre II,Kampala,HC II,,
378 Kawempe Division HSD Friends Medical Clinic Health Centre II,Kampala,HC II,,
379 Central Division HSD Friends Poly Clinic Health Centre II,Kampala,HC II,,
380 Central Division HSD Frontier Medical Centre Health Centre II,Kampala,HC II,,
381 Nakawa Division HSD Gabex Medical Center Health Centre II,Kampala,HC II,,
382 Rubaga Division HSD Galilee Community General,Kampala,Hospital,,
383 Makindye Division HSD Gallop Clinic Health Centre II,Kampala,HC II,,
384 Central Division HSD Garden City Medical Center Health Centre II,Kampala,HC II,,
385 Central Division HSD Garden Clinic (Mengo) Health Centre II,Kampala,HC II,,
386 Kawempe Division HSD Gasto Medical Center Health Centre II,Kampala,HC II,,
387 Kawempe Division HSD Gasto Medical Centre Health Centre II,Kampala,HC II,,
389 Rubaga Division HSD Gatewell Generalclinic Health Centre II,Kampala,HC II,,
390 Central Division HSD Gava Medical Centre Health Centre II,Kampala,HC II,,
391 Kawempe Division HSD Gayaza Road Mefical Centre Health Centre II,Kampala,HC II,,
392 Nakawa Division HSD Gemini Medical Center Health Centre II,Kampala,HC II,,
393 Nakawa Division HSD General Medical Clinic Health Centre II,Kampala,HC II,,
394 Central Division HSD Generation Medical Clinic Health Centre II,Kampala,HC II,,
395 Makindye Division HSD Genesis Medical Center Health Centre II,Kampala,HC II,,
396 Kawempe Division HSD Genesis Health Care Health Centre II,Kampala,HC II,,
397 Rubaga Division HSD Genesis Medical Centre (Kasubi) Health Centre II,Kampala,HC II,,
398 Nakawa Division HSD Genesis Medical Centre (Mbuya) Health Centre II,Kampala,HC II,,
399 Central Division HSD Geogina Eye Health Centre III,Kampala,HC II,,
400 Makindye Division HSD Ggaba Medical Clinic Health Centre II,Kampala,HC II,,
401 Kawempe Division HSD Gibbson Clinic And Lab Services Health Centre II,Kampala,HC II,,
402 Kawempe Division HSD Gif Medical Centre Health Centre II,Kampala,HC II,,
403 Rubaga Division HSD Gift Medical Center Health Centre II,Kampala,HC II,,
404 Makindye Division HSD Gift Medical Clinic Health Centre II,Kampala,HC II,,
405 Central Division HSD Gildt Clinic Health Centre II,Kampala,HC II,,
406 Makindye Division HSD Global Medical Clinic Health Centre II,Kampala,HC II,,
407 Rubaga Division HSD Global Medical Services Health Centre II,Kampala,HC II,,
408 Central Division HSD Global Medicare Center Health Centre II,Kampala,HC II,,
409 Makindye Division HSD Globe Clinic Health Centre II,Kampala,HC II,,
410 Makindye Division HSD Gloria Medical Centre Health Centre II,Kampala,HC II,,
411 Rubaga Division HSD Glory And Joy Health Centre II,Kampala,HC II,,
412 Makindye Division HSD Glory Clinic Health Centre II,Kampala,HC II,,
413 Rubaga Division HSD Glory Medical Clinic Health Centre II,Kampala,HC II,,
414 Rubaga Division HSD Glory Medicare Health Centre II,Kampala,HC II,,
415 Nakawa Division HSD Glory Medicine Centre Health Centre II,Kampala,HC II,,
416 Rubaga Division HSD Glory Of Christ Medical Centre Health Centre II,Kampala,HC II,,
417 Kawempe Division HSD Gloryland Medical Center Health Centre II,Kampala,HC II,,
418 Nakawa Division HSD Goal Medical Centre Health Centre II,Kampala,HC II,,
419 Kawempe Division HSD God Bless Cares Clinic Health Centre II,Kampala,HC II,,
420 Nakawa Division HSD God Cares Medical Center Health Centre II,Kampala,HC II,,
421 Kawempe Division HSD God Healing General Clinic Health Centre II,Kampala,HC II,,
422 Makindye Division HSD God The Answer Health Centre II,Kampala,HC II,,
423 Makindye Division HSD God’S Grace Clinic Health Centre II,Kampala,HC II,,
424 Makindye Division HSD God’S Able Clinic Health Centre II,Kampala,HC II,,
425Kawempe Division HSD God’s Grace Medical,Kampala,Clinic,,
426Kawempe Division HSD God’s Grace Medical,Kampala,Clinic,,
427 Kawempe Division HSD God’S Midical Clinic Health Centre II,Kampala,HC II,,
428Central Division HSD God’S Will Medical,Kampala,Clinic,,
429 Central Division HSD God’S Will Medical Clinic Health Centre II,Kampala,HC II,,
430 Makindye Division HSD Godnet Medical Clinic Health Centre II,Kampala,HC II,,
431 Makindye Division HSD Gods Care Health Centre II,Kampala,HC II,,
432 Rubaga Division HSD Gods Mercy Clinic (Kabowa) Health Centre II,Kampala,HC II,,
433 Rubaga Division HSD Gods Mercy Clinic (Kasubi) Health Centre II,Kampala,HC II,,
434 Nakawa Division HSD Gods Mercy Clinic (Kyanja) Health Centre II,Kampala,HC II,,
435 Nakawa Division HSD Gods Mercy Medical Centre Health Centre II,Kampala,HC II,,
436 Makindye Division HSD Godswill Medical Centre Health Centre II,Kampala,HC II,,
438Central Division HSD Good Health For Women Project,Kampala,Clinic,,
439 Makindye Division HSD Good Health Medical Centre Health Centre II,Kampala,HC II,,
440 Rubaga Division HSD Good Hope Clinic Health Centre II,Kampala,HC II,,
441 Makindye Division HSD Good Hope Health Care Center Health Centre II,Kampala,HC II,,
442 Nakawa Division HSD Good Hope Medical Clinic Health Centre II,Kampala,HC II,,
443 Nakawa Division HSD Good Life Care Clinic Health Centre II,Kampala,HC II,,
444 Central Division HSD Good Lord Medical Center Health Centre II,Kampala,HC II,,
445 Rubaga Division HSD Good Luck Clinic Health Centre II,Kampala,HC II,,
446 Rubaga Division HSD Good New Medical Center Health Centre II,Kampala,HC II,,
447 Nakawa Division HSD Good Samaritan Clinic (Banda) Health Centre II,Kampala,HC II,,
448 Makindye Division HSD Good Samaritan Clinic (Makindye I) Health Centre II,Kampala,HC II,,
449 Makindye Division HSD Good Samaritan Clinic (Salaama) Health Centre II,Kampala,HC II,,
450 Rubaga Division HSD Good Samaritan Dom Clinic Health Centre II,Kampala,HC II,,
451 Central Division HSD Good Samaritan General Clinic Health Centre II,Kampala,HC II,,
452 Kawempe Division HSD Good Samartan Dental Clinic Health Centre II,Kampala,HC II,,
454 Central Division HSD Good Shed Clinic Health Centre II,Kampala,HC II,,
455 Nakawa Division HSD Good Shephered Medical Centre Health Centre II,Kampala,HC II,,
456 Rubaga Division HSD Good Will Clinic Health Centre II,Kampala,HC II,,
457 Nakawa Division HSD Good Will Polly Clinic Health Centre III,Kampala,HC II,,
458 Nakawa Division HSD Goodcare Medical Centre Health Centre II,Kampala,HC II,,
459 Nakawa Division HSD Goodday Clinic Health Centre II,Kampala,HC II,,
460 Central Division HSD Grace Medical And Dental Clinic Health Centre II,Kampala,HC II,,
461 Central Division HSD Grace Medical Clinic (Kamwokya II) Health Centre II,Kampala,HC II,,
462 Nakawa Division HSD Grace Medical Clinic (Mbuya I) Health Centre II,Kampala,HC II,,
463 Nakawa Division HSD Grace Medical Clinic (Mbuya II) Health Centre II,Kampala,HC II,,
464 Central Division HSD Grace Medical Clinic (Nakasero IV) Health Centre II,Kampala,HC II,,
465 Makindye Division HSD Grace Medical Clinic (Wabigalo) Health Centre II,Kampala,HC II,,
466 Rubaga Division HSD Grace Optical Services Health Centre II,Kampala,HC II,,
467 Rubaga Division HSD Graceland Medical Centre Health Centre II,Kampala,HC II,,
468 Nakawa Division HSD Grapher Clinic Health Centre II,Kampala,HC II,,
469 Nakawa Division HSD Green Life Medical Centre Health Centre II,Kampala,HC II,,
470 Central Division HSD Grogen Clinicare Diagnostics Health Centre II,Kampala,HC II,,
471 Central Division HSD Guardian Medi Care Health Centre II,Kampala,HC II,,
472 Nakawa Division HSD Gv Medical Center Health Centre II,Kampala,HC II,,
473 Makindye Division HSD Gwere Clinic Health Centre II,Kampala,HC II,,
474 Central Division HSD Gyenvudde Clinic Health Centre II,Kampala,HC II,,
475 Kawempe Division HSD H R Medical Clinic Health Centre II,Kampala,HC II,,
476 Kawempe Division HSD H0Listic Care Clinic Health Centre II,Kampala,HC II,,
